Low Alloy Steel	77	200000	420	560	420
High Tensile Steel	77	200000	1650	1860	1650
High Alloy Steel	77	200000	700	800	700
Piano Wire	77	200000	0	3000	0
Cast Iron	70	150000	0	110	770
Wrought Iron	75	18500	200	350	200
Aluminium	27	69000	40	80	60
Aluminium Alloy	27	73000	470	580	500
Copper	88	124000	70	230	200
Bronze	79	105000	200	390	350
Gold	189	82000	40	220	180
Granite	26	52000	0	11	140
Limestone	25	58000	0	8	62
Slate	28	95000	0	60	100
Brick	19	20000	0	3	20
Concrete	24	30000	0	3	20
Glass	27	69000	0	100	200
Oak	7.5	14000	75	90	60
Spruce	4.4	11000	55	70	50
Carbon Fibre	15	160000	0	1800	0
Nylon Fibre	11	5500	0	900	0
Kevlar Fibre	14	130000	0	3600	0
